Timestamp,ElapsedMs,ObjectCount,HeapUsage,InitialHeap,MaxHeap
2025-05-12 18:19:40,2,100,4000,4194304,134217728
2025-05-12 18:19:40,2,101,4040,4194304,134217728
2025-05-12 18:19:40,2,102,4080,4194304,134217728
2025-05-12 18:19:40,2,103,4120,4194304,134217728
2025-05-12 18:19:40,2,104,4160,4194304,134217728
2025-05-12 18:19:40,2,105,4200,4194304,134217728
2025-05-12 18:19:40,2,106,4240,4194304,134217728
2025-05-12 18:19:40,2,107,4280,4194304,134217728
2025-05-12 18:19:40,2,108,4320,4194304,134217728
2025-05-12 18:19:40,2,109,4360,4194304,134217728
2025-05-12 18:19:40,2,110,4400,4194304,134217728
2025-05-12 18:19:40,2,111,4440,4194304,134217728
2025-05-12 18:19:40,2,112,4480,4194304,134217728
2025-05-12 18:19:40,2,113,4520,4194304,134217728
2025-05-12 18:19:40,3,112,4480,4194304,134217728
2025-05-12 18:19:40,3,112,4480,4194304,134217728
